id,name,latitude,longitude,sector,subsector,assetType,sourceType,pollution_type,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,source_file,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
1293759,Mit Ghamr Subdivision,30.707225800000145,31.318717077419407,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,130.78794,6.881992261743213e-08,t of CH4 per MJ,1900437184.8403,MJ,182278927.04688,m^2,10.42598404340799,2024,egy_ch4_source.csv,,,,,,,,,,,
1293806,Tanta Subdivision,30.815812111500122,30.934688059233473,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,125.85093,6.969881087512533e-08,t of CH4 per MJ,1805639557.1149504,MJ,173186486.87243998,m^2,10.425984092193572,2024,egy_ch4_source.csv,,,,,,,,,,,
1293839,Al-'Umraniyah Subdivision,29.990157127000092,31.18113331060774,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,123.58627,8.083391824195037e-08,t of CH4 per MJ,1528891246.24745,MJ,146642393.86176,m^2,10.4259839599232,2024,egy_ch4_source.csv,,,,,,,,,,,
1293877,Samalut Subdivision,28.270736056000146,30.635895788070876,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,123.02892,1.0442586872614181e-07,t of CH4 per MJ,1178146004.44115,MJ,113000940.22271997,m^2,10.425984085787915,2024,egy_ch4_source.csv,,,,,,,,,,,
1293924,Al-Qanatir al-Khayriyah Subdivision,30.213086161500023,31.123088449427595,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,121.83337,9.42701039305198e-08,t of CH4 per MJ,1292386079.15183,MJ,123958186.18584,m^2,10.425984107368794,2024,egy_ch4_source.csv,,,,,,,,,,,
1295831,Faqus Subdivision,30.750877381000098,31.89648095775089,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,121.54131,6.65196957537918e-08,t of CH4 per MJ,1827147713.51118,MJ,175249424.67396,m^2,10.425984090449756,2024,egy_ch4_source.csv,,,,,,,,,,,
1293932,Tukh Subdivision,30.34923744200009,31.18305784138679,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,117.69830999999998,7.488351777435853e-08,t of CH4 per MJ,1571751882.0984397,MJ,150753336.60228,m^2,10.425984044685274,2024,egy_ch4_source.csv,,,,,,,,,,,
1296057,Unorganized in Qina Subdivision,25.966478486500105,33.19055097601294,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,116.36166,7.530572768703152e-08,t of CH4 per MJ,1545190034.99436,MJ,148205677.49820003,m^2,10.425984085617277,2024,egy_ch4_source.csv,,,,,,,,,,,
1296081,Sawhaj Subdivision,26.548259937000097,31.659570882582415,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,115.53747,9.222912830584037e-08,t of CH4 per MJ,1252722129.35665,MJ,120153849.69611998,m^2,10.425984123895308,2024,egy_ch4_source.csv,,,,,,,,,,,
1293863,Shibin al-Kawm Subdivision,30.558578491000052,30.999184978529804,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,114.42881,6.008689979813767e-08,t of CH4 per MJ,1904388650.17873,MJ,182657928.06744,m^2,10.425984080338422,2024,egy_ch4_source.csv,,,,,,,,,,,
